#loc_id	ags	ascii	name	lat	lon	amt	plz	vorwahl	einwohner	flaeche	kz	typ	level	of	invalid
34659		SOMMETHONNE	Sommethonne	49.5833333	5.45		6769					100600000	7	35653	
34660		SOMMIÈRE	Sommière	50.2833333	4.85		5523					100600000	7	35669	
34661		SOMZEE	Somzée	50.3	4.4666667		5651					100600000	7	35697	
34662		SOREE	Sorée	50.4	5.1333333		5340					100600000	7	35680	
34663		SORINNE-LA-LONGUE	Sorinne-la-Longue	50.3833333	5.0333333		5333					100600000	7	35675	
34664		SORINNES	Sorinnes	50.2666667	4.9833333		5503					100600000	7	35663	
34665		SOSOYE	Sosoye	50.3	4.7833333		5537					100600000	7	35659	
34666		SOUGNE-REMOUCHAMPS	Sougné-Remouchamps	50.4833333	5.7166667		4920					100600000	7	35546	
34667		SOULME	Soulme	50.1833333	4.7333333		5680					100600000	7	35692	
35565		SOUMAGNE	Soumagne	50.6357143	5.7190476		4630,4631,4632,4633					100600000	6	677	
34668		SOUMAGNE	Soumagne	50.6166667	5.75		4630					100600000	7	35565	
34669		SOUMOY	Soumoy	50.1833333	4.4333333		5630					100600000	7	35690	
34670		SOURBRODT	Sourbrodt	50.4833333	6.1333333		4950					100600000	7	35597	
34671		SOUVRET	Souvret	50.4333333	4.3333333		6182					100600000	7	35465	
34672		SOVET	Sovet	50.3	5.0333333		5590					100600000	7	35662	
34673		SOY	Soy	50.2833333	5.5166667		6997					100600000	7	35627	
34674		SOYE	Soye	50.45	4.7333333		5150					100600000	7	35677	
34675		SPA	Spa	50.5	5.8666667		4900					100600000	6	678	
34676		SPALBEEK	Spalbeek	50.95	5.2333333		3510					100600000	8	33577	
34677		SPIENNES	Spiennes	50.4166667	3.9833333		7032					100600000	7	35484	
34678		SPIERE	Spiere	50.7166667	3.35		8587					100600000	7	34679	
34679		SPIERE-HELKIJN	Spiere-Helkijn	50.725	3.3666666		8587					100600000	6	660	
34681		SPONTIN	Spontin	50.3166667	5		5530					100600000	7	35673	
35233		SPOUWEN	Spouwen	50.8333333	5.5388889		3740					100600000	7	35232	
35566		SPRIMONT	Sprimont	50.5199999	5.6666666		4140,4141					100600000	6	677	
34680		SPRIMONT	Sprimont	50.5	5.6666667		4140					100600000	7	35566	
34682		SPY	Spy	50.4833333	4.7		5190					100600000	7	35681	
35175		STABROEK	Stabroek	51.3166666	4.375		2940					100600000	6	647	
34683		STABROEK	Stabroek	51.3333333	4.3666667		2940					100600000	7	35175	
35412		STADEN	Staden	50.9499999	3.0277778		8840					100600000	6	663	
34684		STADEN	Staden	50.9833333	3.0166667		8840					100600000	7	35412	
34685		STALHILLE	Stalhille	51.2166667	3.0666667		8490					100600000	7	35382	
34686		STAMBRUGES	Stambruges	50.5	3.7166667		7973					100600000	7	35455	
34687		STAVE	Stave	50.2833333	4.6666667		5646					100600000	7	35683	
34688		STAVELE	Stavele	50.9333333	2.6666667		8691					100600000	7	35419	
35587		STAVELOT	Stavelot	50.4111111	5.9166666		4970					100600000	6	678	
34689		STAVELOT	Stavelot	50.3833333	5.9333333		4970					100600000	7	35587	
34690		STEENDORP	Steendorp	51.1333333	4.2666667		9140					100600000	7	35313	
34691		STEENHUFFEL	Steenhuffel	51	4.2666667		1840					100600000	7	35326	
34692		STEENHUIZE-WIJNHUIZE	Steenhuize-Wijnhuize	50.8333333	3.8833333		9550					100600000	7	35253	
34693		STEENKERKE	Steenkerke	51.05	2.6833333		8630					100600000	7	35424	
34694		STEENKERQUE	Steenkerque	50.6333333	4.0666667		7090					100600000	7	35493	
35339		STEENOKKERZEEL	Steenokkerzeel	50.9222222	4.5		1820					100600000	6	667	
34695		STEENOKKERZEEL	Steenokkerzeel	50.9166667	4.5166667		1820					100600000	7	35339	
35312		STEKENE	Stekene	51.2	4.0583333		9190					100600000	6	658	
34696		STEKENE	Stekene	51.2	4.0333333		9190					100600000	7	35312	
34697		STEMBERT	Stembert	50.5833333	5.9		4801					100600000	7	35596	
34698		STENE	Stene	51.2	2.9166667		8400					100600000	7	35405	
34699		STERREBEEK	Sterrebeek	50.8666667	4.516667		1933					100600000	7	35343	
34700		STEVOORT	Stevoort	50.9166667	5.25		3512					100600000	7	35210	
34701		STOKKEM	Stokkem	51.0166667	5.75		3650					100600000	7	35220	
34702		STOKROOIE	Stokrooie	50.9666667	5.2666667		3511					100600000	8	35210	
35589		STOUMONT	Stoumont	50.4020833	5.7874999		4987					100600000	6	678	
34703		STOUMONT	Stoumont	50.4166667	5.8		4987					100600000	7	35589	
34704		STRAIMONT	Straimont	49.8	5.3666667		6887					100600000	7	35638	
34705		STREE	Strée	50.2666667	4.2833333		6511					100600000	7	35502	
34706		STREE-LEZ-HUY	Strée-lez-Huy	50.4833333	5.3333333		4577					100600000	7	35535	
34707		STREPY-BRACQUEGNIES	Strépy-Bracquegnies	50.45	4.1		7110					100600000	7	35496	
34708		STRIJPEN	Strijpen	50.8666667	3.7833333		9620					100600000	7	35257	
34709		STRIJTEM	Strijtem	50.8333333	4.1166667		1760					100600000	7	35337	
34710		STROMBEEK-BEVER	Strombeek-Bever	50.9	4.35		1853					100600000	7	35320	
34711		STUIVEKENSKERKE	Stuivekenskerke	51.0833333	2.8166667		8600					100600000	7	35395	
34712		SUARLEE	Suarlée	50.4833333	4.7833333		5020					100600000	7	35684	
34713		SUGNY	Sugny	49.8166667	4.9		5550					100600000	7	35672	
34714		SURICE	Surice	50.1833333	4.7		5600					100600000	7	35694	
34715		SUXY	Suxy	49.7666667	5.3833333		6812					100600000	7	35648	
34716		TAILLES	Tailles	50.2333333	5.75		6661					100600000	7	35621	
34717		TAINTIGNIES	Taintignies	50.55	3.3333333		7618					100600000	7	35522	
34718		TAMINES	Tamines	50.4333333	4.6		5060					100600000	7	35687	
34719		TARCIENNE	Tarcienne	50.3	4.4833333		5651					100600000	7	35697	
35592		TARGNON	Targnon	50.4166667	5.7833333		4987					100600000	7	35589	
34720		TAVIER	Tavier	50.5	5.4666667		4163					100600000	7	35525	
34721		TAVIERS	Taviers	50.6166667	4.9166667		5310					100600000	7	35676	
34722		TAVIGNY	Tavigny	50.1166667	5.8333333		6662					100600000	7	35621	
35646		TELLIN	Tellin	50.0833333	5.2375		6927					100600000	6	683	
34723		TELLIN	Tellin	50.0833333	5.2166667		6927					100600000	7	35646	
34724		TEMPLEUVE	Templeuve	50.6333333	3.2666667		7520					100600000	7	35523	
34725		TEMPLOUX	Temploux	50.4833333	4.75		5020					100600000	7	35684	
35313		TEMSE	Temse	51.125	4.2		9140					100600000	6	658	
34726		TEMSE	Temse	51.1333333	4.2166667		9140					100600000	7	35313	
35634		TENNEVILLE	Tenneville	50.1111111	5.5277777		6970,6971,6972					100600000	6	682	
34727		TENNEVILLE	Tenneville	50.1	5.5333333		6970					100600000	7	35634	
34728		TERALFENE	Teralfene	50.9	4.1		1790					100600000	7	35314	
34729		TERHAGEN	Terhagen	51.0833333	4.4		2840					100600000	7	35173	
35335		TERLANEN	Terlanen	50.7666667	4.6		3090					100600000	7	35331	
34730		TERMES	Termes	49.7166667	5.45		6813					100600000	7	35648	
35340		TERNAT	Ternat	50.8611111	4.1666666		1740,1741,1742					100600000	6	667	
34731		TERNAT	Ternat	50.8666667	4.1833333		1740					100600000	7	35340	
34732		TERTRE	Tertre	50.4666667	3.8		7333					100600000	7	35490	
35371		TERVUREN	Tervuren	50.8222222	4.5388889		3080					100600000	6	668	
34733		TERVUREN	Tervuren	50.8166667	4.5166667		3080					100600000	7	35371	
34734		TERWAGNE	Terwagne	50.45	5.3333333		4560					100600000	7	35528	
34735		TESSENDERLO	Tessenderlo	51.0666667	5.0833333		3980					100600000	6	650	
34736		TESTELT	Testelt	51	4.95		3272					100600000	7	35370	
34737		TEUVEN	Teuven	50.75	5.8666667		3793					100600000	7	35246	
35593		THEUX	Theux	50.5166666	5.8277777		4910					100600000	6	678	
34738		THEUX	Theux	50.5333333	5.8166667		4910					100600000	7	35593	
